name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,id,,,
Dumbbell Lunges,push,beginner,compound,dumbbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings""]","[""Stand with your torso upright holding two dumbbells in your hands by your sides. This will be your starting position."", ""Step forward with your right leg around 2 feet or so from the foot being left stationary behind and lower your upper body down, while keeping the torso upright and maintaining balance. Inhale as you go down. Note: As in the other exercises, do not allow your knee to go forward beyond your toes as you come down, as this will put undue stress on the knee joint. Make sure that you keep your front shin perpendicular to the ground."", ""Using mainly the heel of your foot, push up and go back to the starting position as you exhale."", ""Repeat the movement for the recommended amount of repetitions and then perform with the left leg.""]",Dumbbell_Lunges,,,
Dumbbell Lying One-Arm Rear Lateral Raise,pull,intermediate,isolation,dumbbell,"[""shoulders""]","[""middle back""]","[""While holding a dumbbell in one hand, lay with your chest down on a slightly inclined (around 15 degrees when measured from the floor) adjustable bench. The other hand can be used to hold to the leg of the bench for stability."", ""Position the palm of the hand that is holding the dumbbell in a neutral manner (palms facing your torso) as you keep the arm extended with the elbow slightly bent. This will be your starting position."", ""Now raise the arm with the dumbbell to the side until your elbow is at shoulder height and your arm is roughly parallel to the floor as you exhale. Tip: Maintain your arm perpendicular to the torso while keeping your arm extended throughout the movement. Also, keep the contraction at the top for a second."", ""Slowly lower the dumbbell to the starting position as you inhale."", ""Repeat for the recommended amount of repetitions.""]",Dumbbell_Lying_One-Arm_Rear_Lateral_Raise,,,
Dumbbell Lying Pronation,pull,intermediate,isolation,dumbbell,"[""forearms""]",[],"[""Lie on a flat bench face down with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it."", ""Bend the elbows of the arm holding the dumbbell so that it creates a 90-degree angle between the upper arm and the forearm."", ""Now raise the upper arm so that the forearm is perpendicular to the floor and the upper arm is perpendicular to your torso. Tip: The upper arm should be parallel to the floor and also creating a 90-degree angle with your torso. This will be your starting position."", ""As you breathe out, externally rotate your forearm so that the dumbbell is lifted forward as you maintain the 90 degree angle bend between the upper arms and the forearm. You will continue this external rotation until the forearm is parallel to the floor. At this point you will hold the contraction for a second."", ""As you breathe in, slowly go back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Dumbbell_Lying_Pronation,,,
Dumbbell Lying Rear Lateral Raise,pull,intermediate,isolation,dumbbell,"[""shoulders""]",[],"[""While holding a dumbbell in each hand, lay with your chest down on a slightly inclined (around 15 degrees when measured from the floor) adjustable bench."", ""Position the palms of the hands in a neutral manner (palms facing your torso) as you keep the arms extended with the elbows slightly bent. This will be your starting position."", ""Now raise the arms to the side until your elbows are at shoulder height and your arms are roughly parallel to the floor as you exhale. Tip: Maintain your arms perpendicular to the torso while keeping them extended throughout the movement. Also, keep the contraction at the top for a second."", ""Slowly lower the dumbbells to the starting position as you inhale."", ""Repeat for the recommended amount of repetitions and then switch to the other arm.""]",Dumbbell_Lying_Rear_Lateral_Raise,,,
Dumbbell Lying Supination,pull,intermediate,isolation,dumbbell,"[""forearms""]",[],"[""Lie sideways on a flat bench with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it."", ""Bend the elbows of the arm holding the dumbbell so that it creates a 90-degree angle between the upper arm and the forearm."", ""Now raise the upper arm so that the forearm is parallel to the floor and perpendicular to your torso (Tip: So the forearm will be directly in front of you). The upper arm will be stationary by your torso and should be parallel to the floor (aligned with your torso at all times). This will be your starting position."", ""As you breathe out, externally rotate your forearm so that the dumbbell is lifted up in a semicircle motion as you maintain the 90 degree angle bend between the upper arms and the forearm. You will continue this external rotation until the forearm is perpendicular to the floor and the torso pointing towards the ceiling. At this point you will hold the contraction for a second."", ""As you breathe in, slowly go back to the starting position."", ""Repeat for the recommended amount of repetitions and then switch to the other arm.""]",Dumbbell_Lying_Supination,,,
Dumbbell One-Arm Shoulder Press,push,intermediate,compound,dumbbell,"[""shoulders""]","[""triceps""]","[""Grab a dumbbell and either sit on a military press bench or a utility bench that has a back support on it as you place the dumbbells upright on top of your thighs or stand up straight."", ""Clean the dumbbell up to bring it to shoulder height. The other hand can be kept fully extended to the side, by the waist or grabbing a fixed surface."", ""Rotate the wrist so that the palm of your hand is facing forward. This is your starting position."", ""As you exhale, push the dumbbell up until your arm is fully extended."", ""After a second pause, slowly come down back to the starting position as you inhale."", ""Repeat for the recommended amount of repetitions and then switch arms.""]",Dumbbell_One-Arm_Shoulder_Press,,,
Dumbbell One-Arm Triceps Extension,push,intermediate,isolation,dumbbell,"[""triceps""]",[],"[""Grab a dumbbell and either sit on a military press bench or a utility bench that has a back support on it as you place the dumbbells upright on top of your thighs or stand up straight."", ""Clean the dumbbell up to bring it to shoulder height and then extend the arm over your head so that the whole arm is perpendicular to the floor and next to your head. The dumbbell should be on top of you. The other hand can be kept fully extended to the side, by the waist, supporting the upper arm that has the dumbbell or grabbing a fixed surface."", ""Rotate the wrist so that the palm of your hand is facing forward and the pinkie is facing the ceiling. This will be your starting position."", ""Slowly lower the dumbbell behind your head as you hold the upper arm stationary. Inhale as you perform this movement and pause when your triceps are fully stretched."", ""Return to the starting position by flexing your triceps as you breathe out. Tip: It is imperative that only the forearm moves. The upper arm should remain at all times stationary next to your head."", ""Repeat for the recommended amount of repetitions and switch arms.""]",Dumbbell_One-Arm_Triceps_Extension,,,
Dumbbell One-Arm Upright Row,pull,intermediate,compound,dumbbell,"[""shoulders""]","[""biceps"", ""traps""]","[""Grab a dumbbell and stand up straight with your arm extended in front of you with a slight bend at the elbows and your back straight. This will be your starting position. Tip: The dumbbell should be resting on top of your thigh with the palm of your hands facing your thighs."", ""Keep the other hand can be kept fully extended to the side, by the waist or grabbing a fixed surface. This will be your starting position."", ""Use your side shoulders to lift the dumbbell as you exhale. The dumbbell should be close to the body as you move it up. Continue to lift it until the dumbbell is nearly in line with your chin. Tip: Your elbows should drive the motion. As you lift the dumbbell, your elbow should always be higher than your forearm. Also, keep your torso stationary and pause for a second at the top of the movement."", ""Lower the dumbbell back down slowly to the starting position. Inhale as you perform this portion of the movement."", ""Repeat for the recommended amount of repetitions and switch arms.""]",Dumbbell_One-Arm_Upright_Row,,,
Dumbbell Prone Incline Curl,pull,intermediate,isolation,dumbbell,"[""biceps""]",[],"[""Grab a dumbbell on each hand and lie face down on an incline bench with your shoulders near top of the incline. Your knees can rest on the seat or your legs can be straddled to the sides (my preferred way)."", ""Let your arms extend and hang naturally in front of you so that they are perpendicular to the floor."", ""Now keep your elbows in by your side and face the palms forward. This will be your starting position."", ""Raise the dumbbells by contracting the biceps until your arms are fully flexed. Exhale as you perform this portion of the movement and ensure that only the forearms move. The upper arms should remain stationary at all times."", ""Lower the dumbbells until your arms are fully extended."", ""Repeat for the recommended amount of times.""]",Dumbbell_Prone_Incline_Curl,,,
Dumbbell Raise,pull,beginner,compound,dumbbell,"[""shoulders""]","[""biceps""]","[""Grab a dumbbell in each arm and stand up straight with your arms extended by your sides with a slight bend at the elbows and your back straight. This will be your starting position. Tip: The dumbbell should be next to your thighs with the palm of your hands facing back."", ""Use your side shoulders to lift the dumbbells as you exhale. The dumbbells should be to the side of the body as you move them up. Continue to lift it until the dumbbells are nearly in line with your chin. Tip: Your elbows should drive the motion. As you lift the dumbbell, your elbow should always be higher than your forearm. Also, keep your torso stationary and pause for a second at the top of the movement."", ""Lower the dumbbells back down slowly to the starting position. Inhale as you perform this portion of the movement."", ""Repeat for the recommended amount of repetitions.""]",Dumbbell_Raise,,,
Dumbbell Rear Lunge,push,intermediate,compound,dumbbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings""]","[""Stand with your torso upright holding two dumbbells in your hands by your sides. This will be your starting position."", ""Step backward with your right leg around two feet or so from the left foot and lower your upper body down, while keeping the torso upright and maintaining balance. Inhale as you go down. Tip: As in the other exercises, do not allow your knee to go forward beyond your toes as you come down, as this will put undue stress on the knee joint. Make sure that you keep your front shin perpendicular to the ground. Keep the torso upright during the lunge; flexible hip flexors are important. A long lunge emphasizes the Gluteus Maximus; a short lunge emphasizes Quadriceps."", ""Push up and go back to the starting position as you exhale. Tip: Use the ball of your feet to push in order to accentuate the quadriceps. To focus on the glutes, press with your heels."", ""Now repeat with the opposite leg.""]",Dumbbell_Rear_Lunge,,,
Dumbbell Scaption,push,beginner,isolation,dumbbell,"[""shoulders""]","[""traps""]","[""This corrective exercise strengthens the muscles that stabilize your shoulder blade. Hold a light weight in each hand, hanging at your sides. Your thumbs should pointing up."", ""Begin the movement raising your arms out in front of you, about 30 degrees off center. Your arms should be fully extended as you perform the movement."", ""Continue until your arms are parallel to the ground, and then return to the starting position.""]",Dumbbell_Scaption,,,
Dumbbell Seated Box Jump,push,intermediate,compound,dumbbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings""]","[""Position a box a couple feet to the side of a bench. Hold a dumbbell to your chest with both hands and seat yourself on the bench facing the box. This will be your starting position."", ""Plant your feet firmly on the ground as you lean forward, extending through the hips and knees to jump up and forward."", ""Land on the box with both feet, absorbing the impact by allowing the hips and knees to bend."", ""Step down and return to the starting position.""]",Dumbbell_Seated_Box_Jump,,,
Dumbbell Seated One-Leg Calf Raise,push,beginner,isolation,dumbbell,"[""calves""]",[],"[""Place a block on the floor about 12 inches from a flat bench."", ""Sit on a flat bench and place a dumbbell on your upper left thigh about 3 inches above your knee."", ""Now place the ball of your left foot on the block. This will be your starting position."", ""Raise your toes up as high as possible as you exhale and you contract your calf muscle. Hold the contraction for a second."", ""Slowly return to the starting position, stretching as far down as possible."", ""Repeat for your prescribed number of repetitions and then repeat with the right leg.""]",Dumbbell_Seated_One-Leg_Calf_Raise,,,
Dumbbell Shoulder Press,push,intermediate,compound,dumbbell,"[""shoulders""]","[""triceps""]","[""While holding a dumbbell in each hand, sit on a military press bench or utility bench that has back support. Place the dumbbells upright on top of your thighs."", ""Now raise the dumbbells to shoulder height one at a time using your thighs to help propel them up into position."", ""Make sure to rotate your wrists so that the palms of your hands are facing forward. This is your starting position."", ""Now, exhale and push the dumbbells upward until they touch at the top."", ""Then, after a brief pause at the top contracted position, slowly lower the weights back down to the starting position while inhaling."", ""Repeat for the recommended amount of repetitions.""]",Dumbbell_Shoulder_Press,,,
Dumbbell Shrug,pull,beginner,isolation,dumbbell,"[""traps""]",[],"[""Stand erect with a dumbbell on each hand (palms facing your torso), arms extended on the sides."", ""Lift the dumbbells by elevating the shoulders as high as possible while you exhale. Hold the contraction at the top for a second. Tip: The arms should remain extended at all times. Refrain from using the biceps to help lift the dumbbells. Only the shoulders should be moving up and down."", ""Lower the dumbbells back to the original position."", ""Repeat for the recommended amount of repetitions.""]",Dumbbell_Shrug,,,
Dumbbell Side Bend,pull,beginner,isolation,dumbbell,"[""abdominals""]",[],"[""Stand up straight while holding a dumbbell on the left hand (palms facing the torso) as you have the right hand holding your waist. Your feet should be placed at shoulder width. This will be your starting position."", ""While keeping your back straight and your head up, bend only at the waist to the right as far as possible. Breathe in as you bend to the side. Then hold for a second and come back up to the starting position as you exhale. Tip: Keep the rest of the body stationary."", ""Now repeat the movement but bending to the left instead. Hold for a second and come back to the starting position."", ""Repeat for the recommended amount of repetitions and then change hands.""]",Dumbbell_Side_Bend,,,
Dumbbell Squat,push,beginner,compound,dumbbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings"", ""lower back""]","[""Stand up straight while holding a dumbbell on each hand (palms facing the side of your legs)."", ""Position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. This will be your starting position. Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section."", ""Begin to slowly lower your torso by bending the knees as you maintain a straight posture with the head up. Continue down until your thighs are parallel to the floor. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly."", ""Begin to raise your torso as you exhale by pushing the floor with the heel of your foot mainly as you straighten the legs again and go back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Dumbbell_Squat,,,
Dumbbell Squat To A Bench,push,intermediate,compound,dumbbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings"", ""lower back""]","[""Stand up straight with a flat bench behind you while holding a dumbbell on each hand (palms facing the side of your legs)."", ""Position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. This will be your starting position. Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section."", ""Begin to slowly lower your torso by bending the knees as you maintain a straight posture with the head up. Continue down until you slightly touch the bench behind you. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly."", ""Begin to raise the bar as you exhale by pushing the floor with the heel of your foot mainly as you straighten the legs again and go back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Dumbbell_Squat_To_A_Bench,,,
Dumbbell Step Ups,push,intermediate,compound,dumbbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings""]","[""Stand up straight while holding a dumbbell on each hand (palms facing the side of your legs)."", ""Place the right foot on the elevated platform. Step on the platform by extending the hip and the knee of your right leg. Use the heel mainly to lift the rest of your body up and place the foot of the left leg on the platform as well. Breathe out as you execute the force required to come up."", ""Step down with the left leg by flexing the hip and knee of the right leg as you inhale. Return to the original standing position by placing the right foot of to next to the left foot on the initial position."", ""Repeat with the right leg for the recommended amount of repetitions and then perform with the left leg.""]",Dumbbell_Step_Ups,,,
Dumbbell Tricep Extension -Pronated Grip,push,beginner,isolation,dumbbell,"[""triceps""]",[],"[""Lie down on a flat bench holding two dumbbells directly above your shoulders. Your arms should be fully extended and form a 90 degree angle from your torso and the floor."", ""The palms of your hands should be facing forward, and your elbows should be tucked in. This will be your starting position."", ""Now, inhale and slowly lower the dumbbells until they are near your ears. Be sure to keep your upper arms stationary and your elbows tucked in."", ""Then, exhale and use your triceps to return the weight to the starting position.""]",Dumbbell_Tricep_Extension_-Pronated_Grip,,,
Elevated Back Lunge,push,intermediate,compound,barbell,"[""quadriceps""]","[""glutes"", ""hamstrings""]","[""Position a bar onto a rack at shoulder height loaded to an appropriate weight. Place a short, raised platform behind you."", ""Rack the bar onto your upper back, keeping your back arched and tight. Step onto your raised platform with both feet. This will be your starting position."", ""Begin by stepping backwards with one leg. Descend by flexing your hips and knees until your knee touches the floor."", ""Pause, and extend through the hips and knees to rise up, returning all the way to the starting position before alternating.""]",Elevated_Back_Lunge,,,
Elevated Cable Rows,pull,intermediate,compound,cable,"[""lats""]","[""middle back"", ""traps""]","[""Get a platform of some sort (it can be an aerobics or calf raise platform) that is around 4-6 inches in height."", ""Place it on the seat of the cable row machine."", ""Sit down on the machine and place your feet on the front platform or crossbar provided making sure that your knees are slightly bent and not locked."", ""Lean over as you keep the natural alignment of your back and grab the V-bar handles."", ""With your arms extended pull back until your torso is at a 90-degree angle from your legs. Your back should be slightly arched and your chest should be sticking out. You should be feeling a nice stretch on your lats as you hold the bar in front of you. This is the starting position of the exercise."", ""Keeping the torso stationary, pull the handles back towards your torso while keeping the arms close to it until you touch the abdominals. Breathe out as you perform that movement. At that point you should be squeezing your back muscles hard. Hold that contraction for a second and slowly go back to the original position while breathing in."", ""Repeat for the recommended amount of repetitions.""]",Elevated_Cable_Rows,,,
External Rotation,pull,beginner,isolation,dumbbell,"[""shoulders""]",[],"[""Lie sideways on a flat bench with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it."", ""Bend the elbows of the arm holding the dumbbell so that it creates a 90-degree angle between the upper arm and the forearm. Tip: Keep the arm parallel to your torso."", ""Now bend the elbow while keeping the upper arm stationary. In this manner, the forearm will be parallel to the floor and perpendicular to your torso (Tip: So the forearm will be directly in front of you). The upper arm will be stationary by your torso and should be parallel to the floor (aligned with your torso at all times). This will be your starting position."", ""As you breathe out, externally rotate your forearm so that the dumbbell is lifted up in a semicircle motion as you maintain the 90 degree angle bend between the upper arms and the forearm. You will continue this external rotation until the forearm is perpendicular to the floor and the torso pointing towards the ceiling. At this point you will hold the contraction for a second."", ""As you breathe in, slowly go back to the starting position."", ""Repeat for the recommended amount of repetitions and then switch to the other arm.""]",External_Rotation,,,
External Rotation with Cable,pull,beginner,isolation,cable,"[""shoulders""]",[],"[""Adjust the cable to the same height as your elbow. Stand with your left side to the band a couple of feet away."", ""Grasp the handle with your right hand, and keep your elbow pressed firmly to your side. We recommend you hold a pad or foam roll in place with your elbow to keep it firmly in position."", ""With your upper arm in position, your elbow should be flexed to 90 degrees with your hand reaching across the front of your torso. This will be your starting position."", ""Execute the movement by rotating your arm in a backhand motion, keeping your elbow in place.""]",External_Rotation_with_Cable,,,
Face Pull,pull,intermediate,compound,cable,"[""shoulders""]","[""middle back""]","[""Facing a high pulley with a rope or dual handles attached, pull the weight directly towards your face, separating your hands as you do so. Keep your upper arms parallel to the ground.""]",Face_Pull,,,
Finger Curls,pull,beginner,isolation,barbell,"[""forearms""]",[],"[""Hold a barbell with both hands and your palms facing up; hands spaced about shoulder width."", ""Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart. This will be your starting position."", ""Lower the bar as far as possible by extending the fingers. Allowing the bar to roll down the hands, catch the bar with the final joint in the fingers."", ""Now curl bar up as high as possible by closing your hands while exhaling. Hold the contraction at the top.""]",Finger_Curls,,,
Flat Bench Cable Flyes,push,intermediate,isolation,cable,"[""chest""]",[],"[""Position a flat bench between two low pulleys so that when you are laying on it, your chest will be lined up with the cable pulleys."", ""Lay flat on the bench and keep your feet on the ground."", ""Have someone hand you the handles on each hand. You will grab each single handle attachment with a palms up grip."", ""Extend your arms by your side with a slight bend on your elbows. Tip: You will keep this bend constant through the whole movement. Your arms should be parallel to the floor. This is your starting position."", ""Now start lifting the arms in a semi-circle motion directly in front of you by pulling the cables together until both hands meet at the top of the movement. Squeeze your chest as you perform this motion and breathe out during this movement. Also, hold the contraction for a second at the top. Tip: When performed correctly, at the top position of this movement, your arms should be perpendicular to your torso and the floor touching above your chest."", ""Slowly come back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Flat_Bench_Cable_Flyes,,,
Flexor Incline Dumbbell Curls,pull,beginner,isolation,dumbbell,"[""biceps""]",[],"[""Hold the dumbbell towards the side farther from you so that you have more weight on the side closest to you. (This can be done for a good effect on all bicep dumbbell exercises). Now do a normal incline dumbbell curl, but keep your wrists as far back as possible so as to neutralize any stress that is placed on them."", ""Sit on an incline bench that is angled at 45-degrees while holding a dumbbell on each hand."", ""Let your arms hang down on your sides, with the elbows in, and turn the palms of your hands forward with the thumbs pointing away from the body. Tip: You will keep this hand position throughout the movement as there should not be any twisting of the hands as they come up. This will be your starting position."", ""Curl up the two dumbbells at the same time until your biceps are fully contracted and exhale. Tip: Do not swing the arms or use momentum. Keep a controlled motion at all times. Hold the contracted position for a second at the top."", ""As you inhale, slowly go back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Flexor_Incline_Dumbbell_Curls,,,
Floor Glute-Ham Raise,pull,intermediate,isolation,,"[""hamstrings""]","[""calves"", ""glutes""]","[""You can use a partner for this exercise or brace your feet under something stable."", ""Begin on your knees with your upper legs and torso upright. If using a partner, they will firmly hold your feet to keep you in position. This will be your starting position."", ""Lower yourself by extending at the knee, taking care to NOT flex the hips as you go forward."", ""Place your hands in front of you as you reach the floor. This movement is very difficult and you may be unable to do it unaided. Use your arms to lightly push off the floor to aid your return to the starting position.""]",Floor_Glute-Ham_Raise,,,
Floor Press,push,intermediate,compound,barbell,"[""triceps""]","[""chest"", ""shoulders""]","[""Adjust the j-hooks so they are at the appropriate height to rack the bar. Begin lying on the floor with your head near the end of a power rack. Keeping your shoulder blades pulled together; pull the bar off of the hooks."", ""Lower the bar towards the bottom of your chest or upper stomach, squeezing the bar and attempting to pull it apart as you do so. Ensure that you tuck your elbows throughout the movement. Lower the bar until your upper arm contacts the ground and pause, preventing any slamming or bouncing of the weight."", ""Press the bar back up as fast as you can, keeping the bar, your wrists, and elbows in line as you do so.""]",Floor_Press,,,
Floor Press with Chains,push,intermediate,compound,barbell,"[""triceps""]","[""chest"", ""shoulders""]","[""Adjust the j-hooks so they are at the appropriate height to rack the bar. For this exercise, drape the chains directly over the end of the bar, trying to keep the ends away from the plates."", ""Begin lying on the floor with your head near the end of a power rack. Keeping your shoulder blades pulled together, pull the bar off of the hooks."", ""Lower the bar towards the bottom of your chest or upper stomach, squeezing the bar and attempting to pull it apart as you do so. Ensure that you tuck your elbows throughout the movement. Lower the bar until your upper arm contacts the ground and pause, preventing any slamming or bouncing of the weight."", ""Press the bar back up as fast as you can, keeping the bar, your wrists, and elbows in line as you do so.""]",Floor_Press_with_Chains,,,
Forward Drag with Press,push,intermediate,compound,other,"[""chest""]","[""calves"", ""glutes"", ""hamstrings"", ""quadriceps"", ""shoulders"", ""triceps""]","[""Attach a dual handled chain or rope attachment to the sled. You should be facing away from the sled, holding a handle in each hand."", ""Begin the movement by moving forward for one step. Leaning forward, extend through the legs and hips to move, pausing with each step to extend through the elbows, pressing your hands forward. Step forward until you return to the start position prepared to press.""]",Forward_Drag_with_Press,,,
Frankenstein Squat,push,intermediate,compound,barbell,"[""quadriceps""]","[""abdominals"", ""calves"", ""glutes"", ""hamstrings""]","[""This drill teaches you the proper positioning of both the bar and your body during the clean and front squat."", ""Place the barbell on the front of the shoulders, releasing your grip and extending your arms out in front of you. The shoulders should be pushed forward to create a shelf, and the bar should be in contact with the throat. Ensure that you only move your shoulder blades forward; don't round the thoracic spine."", ""Squat by flexing the knees and hips, sitting in between your legs. Keep the torso upright, the arms up, and the shoulders forward, and the bar should stay in place. Go to the bottom of the squat, until your hamstrings contact your calves."", ""Return to the upright position by driving through the front of the heel and extending the knees and hips.""]",Frankenstein_Squat,,,
Front Barbell Squat,push,expert,compound,barbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings""]","[""This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, bring your arms up under the bar while keeping the elbows high and the upper arm slightly above parallel to the floor. Rest the bar on top of the deltoids and cross your arms while grasping the bar for total control."", ""Lift the bar off the rack by first pushing with your legs and at the same time straightening your torso."", ""Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances described in the foot positioning section)."", ""Begin to slowly lower the bar by bending the knees as you maintain a straight posture with the head up. Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees (which is the point in which the upper legs are below parallel to the floor). Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly."", ""Begin to raise the bar as you exhale by pushing the floor mainly with the middle of your foot as you straighten the legs again and go back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Front_Barbell_Squat,,,
Front Barbell Squat To A Bench,push,expert,compound,barbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings""]","[""This exercise is best performed inside a squat rack for safety purposes. To begin, first set a flat bench behind you and set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, bring your arms up under the bar while keeping the elbows high and the upper arm slightly above parallel to the floor. Rest the bar on top of the deltoids and cross your arms while grasping the bar for total control."", ""Lift the bar off the rack by first pushing with your legs and at the same time straightening your torso."", ""Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances described in the foot positioning section)."", ""Begin to slowly lower the bar by bending the knees as you maintain a straight posture with the head up. Continue down until you touch the bench with your glutes. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly."", ""Begin to raise the bar as you exhale by pushing the floor mainly with the heel of your foot as you straighten the legs again and go back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Front_Barbell_Squat_To_A_Bench,,,
Front Box Jump,push,beginner,compound,other,"[""hamstrings""]","[""abductors"", ""adductors"", ""calves"", ""glutes"", ""quadriceps""]","[""Begin with a box of an appropriate height 1-2 feet in front of you. Stand with your feet should width apart. This will be your starting position."", ""Perform a short squat in preparation for jumping, swinging your arms behind you."", ""Rebound out of this position, extending through the hips, knees, and ankles to jump as high as possible. Swing your arms forward and up."", ""Land on the box with the knees bent, absorbing the impact through the legs. You can jump from the box back to the ground, or preferably step down one leg at a time.""]",Front_Box_Jump,,,
Front Cable Raise,push,beginner,isolation,cable,"[""shoulders""]",[],"[""Select the weight on a low pulley machine and grasp the single hand cable attachment that is attached to the low pulley with your left hand."", ""Face away from the pulley and put your arm straight down with the hand cable attachment in front of your thighs at arms' length with the palms of the hand facing your thighs. This will be your starting position."", ""While maintaining the torso stationary (no swinging), lift the left arm to the front with a slight bend on the elbow and the palms of the hand always faces down. Continue to go up until you arm is slightly above parallel to the floor. Exhale as you execute this portion of the movement and pause for a second at the top."", ""Now as you inhale lower the arm back down slowly to the starting position."", ""Once all of the recommended amount of repetitions have been performed for this arm, switch arms and perform the exercise with the right one.""]",Front_Cable_Raise,,,
Front Cone Hops (or hurdle hops),push,beginner,compound,other,"[""quadriceps""]","[""abductors"", ""adductors"", ""calves"", ""glutes"", ""hamstrings""]","[""Set up a row of cones or other small barriers, placing them a few feet apart."", ""Stand in front of the first cone with your feet shoulder width apart. This will be your starting position."", ""Begin by jumping with both feet over the first cone, swinging both arms as you jump."", ""Absorb the impact of landing by bending the knees, rebounding out of the first leap by jumping over the next cone."", ""Continue until you have jumped over all of the cones.""]",Front_Cone_Hops_or_hurdle_hops,,,
Front Dumbbell Raise,push,beginner,isolation,dumbbell,"[""shoulders""]",[],"[""Pick a couple of dumbbells and stand with a straight torso and the dumbbells on front of your thighs at arms length with the palms of the hand facing your thighs. This will be your starting position."", ""While maintaining the torso stationary (no swinging), lift the left dumbbell to the front with a slight bend on the elbow and the palms of the hands always facing down. Continue to go up until you arm is slightly above parallel to the floor. Exhale as you execute this portion of the movement and pause for a second at the top. Inhale after the second pause."", ""Now lower the dumbbell back down slowly to the starting position as you simultaneously lift the right dumbbell."", ""Continue alternating in this fashion until all of the recommended amount of repetitions have been performed for each arm.""]",Front_Dumbbell_Raise,,,
Front Incline Dumbbell Raise,push,beginner,isolation,dumbbell,"[""shoulders""]",[],"[""Sit down on an incline bench with the incline set anywhere between 30 to 60 degrees while holding a dumbbell on each hand. Tip: You can change the angle to hit the muscle a little differently each time."", ""Extend your arms straight in front of you and have your palms facing down with the dumbbells raised about 1 inch above your thighs. This will be your starting position."", ""Slowly raise the dumbbells straight up until they are slightly above your shoulders, while keeping your elbows locked. Squeeze at the top for a second and make sure you breathe out during this portion of the movement. Tip: Keep your head resting down against the bench and your legs on the floor at all times."", ""Lower the arms back to the starting position as you inhale."", ""Repeat for the recommended amount of repetitions.""]",Front_Incline_Dumbbell_Raise,,,
